Context_ID,Site_Context,Strategy_ID,Strategy,Short_Name,Plant_Powertrain,Description,Key_Risk,Data_Quality_Note,Working_Days,Shift_Hours,Idle_Percent,Grid_Availability,Max_Grid_Power_kW,Uses_Electric_Plant,Uses_BESS,Uses_Smart_Charging,Diesel_Backup_Enabled,Active_Hours_per_day,Idle_Hours_per_day,Plant_Energy_Demand_kWh_per_day,Temporary_Power_Demand_kWh_per_day,Usable_Machine_Battery_kWh,Machine_Battery_Supply_kWh_per_day,Planned_Charge_Energy_kWh_per_day,Planned_Charge_Supply_kWh_per_day,Additional_Charging_Supply_kWh_per_day,BESS_to_Plant_kWh_per_day,BESS_to_Temporary_kWh_per_day,BESS_Energy_Used_kWh_per_day,Direct_Grid_Temporary_kWh_per_day,Backup_to_Plant_kWh_per_day,Backup_to_Temporary_kWh_per_day,Plant_Energy_Unserved_kWh_per_day,Temporary_Energy_Unserved_kWh_per_day,Effective_Charger_Power_kW,Available_Offshift_Hours,Grid_Electricity_kWh,Backup_Diesel_L,Plant_Diesel_L,Plant_Diesel_L_per_day,Temporary_Power_Diesel_L,Temporary_Power_Diesel_L_per_day,Calculated_Downtime_h_per_day,Required_Overnight_Recharge_h,Battery_Equivalent_Cycles_per_day,Energy_Unserved_kWh_per_day,Backup_Energy_Share,Operational_CO2e_kg,Expanded_Energy_CO2e_kg,Energy_Cost_GBP,Hire_and_Power_Cost_GBP,Total_Cost_GBP,Productivity_Index,Exhaust_NOx_Index,Exhaust_PM_Index,Noise_Index,Air_Quality_Benefit_Index,Noise_Benefit_Index,Operational_Reduction_vs_Baseline,Expanded_Reduction_vs_Baseline,Cost_Difference_vs_Baseline_GBP,Routine_Recharge_Valid,Carbon_Result_Valid,Carbon_Comparison_Status,Carbon_Validity_Note,Operational_Carbon_Performance,Expanded_Carbon_Performance,Energy_Supply_Status,Energy_Supply_Note,Local_Environmental_Performance,Local_Environmental_Note,Site_Compatibility,Site_Compatibility_Note,Delivery_Risk,Delivery_Risk_Note,Key_Implementation_Condition
C1,Urban site near a school,S1,Conventional diesel plant + diesel generator,Conventional diesel,Diesel,"Diesel plant, normal idling and a diesel generator for temporary power.",High carbon and local exhaust emissions.,Teaching assumptions with official carbon factors,35.0,8.0,0.25,Available,10.0,False,False,False,False,6.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,750.4000000000001,21.44,251.99999999999997,7.199999999999999,0.0,0.0,0.0,0.0,0.0,2589.740496,3202.2169200000003,1553.72,8400.0,9953.72,100.0,100.0,100.0,100.0,0.0,0.0,0.0,0.0,0.0,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Baseline / high carbon,Baseline / high carbon,All demand supplied,The diesel plant and generator are assumed to supply the required plant work and temporary power.,Poor local environmental performance,"Relative teaching indices: NOx 100, PM 100, noise 100; lower values indicate lower point-of-use impact.",Poor site fit,High community or noise sensitivity conflicts with the strategy's local exhaust or noise profile.,Low delivery risk,"Fuel-based operation is assumed to meet the programme; mechanical failure, maintenance and refuelling delays are outside the model.","Manage fuel supply, idling, exhaust and noise throughout the programme."
C1,Urban site near a school,S2,Efficient diesel transition,Efficient diesel,Efficient diesel,"Reduced idling, efficient diesel plant and a correctly sized generator.",Still depends on diesel and good site management.,Teaching assumptions with official carbon factors,35.0,8.0,0.25,Available,10.0,False,False,False,False,6.0,2.0,0.0,24.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,602.6999999999999,17.22,201.6,5.76,0.0,0.0,0.0,0.0,0.0,2077.941222,2569.376565,1246.6649999999997,8925.0,10171.664999999999,100.0,35.0,25.0,95.0,70.0,5.0,0.19762569832402233,0.19762569832402244,217.9449999999997,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Limited carbon reduction,Limited carbon reduction,All demand supplied,The diesel plant and generator are assumed to supply the required plant work and temporary power.,Moderate local environmental performance,"Relative teaching indices: NOx 35, PM 25, noise 95; lower values indicate lower point-of-use impact.",Site fit with conditions,"Community, exhaust or noise controls would be required for this sensitive site.",Low delivery risk,"Fuel-based operation is assumed to meet the programme; mechanical failure, maintenance and refuelling delays are outside the model.",Enforce anti-idling controls and correctly size and maintain the generator.
C1,Urban site near a school,S3,Grid-connected electric plant,Grid electric,Battery electric,"Electric plant charged from the grid, with grid electricity used for temporary site power where available.",Battery runtime and grid capacity may interrupt the programme.,Manufacturer-informed energy use with teaching cost assumptions,35.0,8.0,0.25,Available,10.0,True,False,False,False,6.0,2.0,20.313,24.0,16.2,16.2,4.7250000000000005,4.1129999999999995,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,7.0,16.0,1629.9499999999998,0.0,0.0,0.0,0.0,0.0,0.0,1.8,1.2538888888888888,0.0,0.0,213.45825199999996,294.6460614999999,407.48749999999995,10150.0,10557.4875,97.0,0.0,0.0,55.0,100.0,45.0,0.9175754279899093,0.907986851340477,603.7674999999999,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Very substantial carbon reduction,Very substantial carbon reduction,All demand supplied,All electric-plant and temporary site-power demand is supplied under the selected assumptions.,Strong local environmental performance,"Relative teaching indices: NOx 0, PM 0, noise 55; lower values indicate lower point-of-use impact.",Good site fit,The strategy is compatible with the selected site's local constraints and infrastructure assumptions.,Moderate delivery risk,The plant requires about 1.3 battery-equivalent cycles per day.,Provide reliable off-shift charging for about 1.8 hours between working days.
C1,Urban site near a school,S4,Electric plant + battery storage + smart charging,Electric + smart power,Battery electric + BESS,"Electric plant, battery storage, planned charging and lower-carbon charging periods.","Battery availability, recharge time and site logistics must be checked.",Manufacturer-informed energy use with teaching smart-charging assumptions,35.0,8.0,0.25,Available,10.0,True,True,True,False,6.0,2.0,20.313,24.0,16.2,16.2,4.7250000000000005,4.1129999999999995,0.0,0.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,7.0,16.0,1687.222727272727,0.0,0.0,0.0,0.0,0.0,0.0,3.1636363636363636,1.2538888888888888,0.0,0.0,182.29091789999995,266.3314819454545,421.80568181818177,11900.0,12321.805681818181,99.0,0.0,0.0,50.0,100.0,50.0,0.9296103535541269,0.9168290316992471,2368.085681818182,True,True,Complete result,Complete carbon comparison: all required plant and temporary-power demand is represented and the repeated charging cycle is supported.,Very substantial carbon reduction,Very substantial carbon reduction,All demand supplied,All electric-plant and temporary site-power demand is supplied under the selected assumptions.,Strong local environmental performance,"Relative teaching indices: NOx 0, PM 0, noise 50; lower values indicate lower point-of-use impact.",Good site fit,The strategy is compatible with the selected site's local constraints and infrastructure assumptions.,Moderate delivery risk,The plant requires about 1.3 battery-equivalent cycles per day.,Provide reliable off-shift charging for about 3.2 hours between working days.
